sample_id,attack_type,detector_type,iteration,structural_score,behavioral_score,combined_score,detector_score,detector_decision,is_detected,attack_successful,utility_preservation,perturbation_magnitude,latency_ms
test_adaptive_lvl2_9,random_perturbation,structural_only,0,0.9656,0.022,0.9173,0.9656,REJECTED,1,0,1.0,0.0,1.599
test_adaptive_lvl2_9,random_perturbation,structural_only,1,0.9662,0.022,0.9179,0.9662,REJECTED,1,0,0.9751,0.061,1.842
test_adaptive_lvl2_9,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.9187,0.1205,1.98
test_adaptive_lvl2_9,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8508,0.1815,1.856
test_adaptive_lvl2_9,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7974,0.2432,1.89
test_adaptive_lvl2_9,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7529,0.3084,1.898
test_adaptive_lvl3_0,random_perturbation,structural_only,0,0.0,0.022,0.011,0.0,APPROVED,0,1,1.0,0.0,1.843
test_adaptive_lvl3_0,random_perturbation,structural_only,1,0.0,0.022,0.011,0.0,APPROVED,0,1,0.85,0.0723,1.97
test_adaptive_lvl3_0,random_perturbation,structural_only,2,0.1434,0.022,0.0612,0.1434,APPROVED,0,1,0.7281,0.143,1.868
test_adaptive_lvl3_0,random_perturbation,structural_only,3,0.2415,0.022,0.0956,0.2415,APPROVED,0,1,0.6447,0.2177,1.903
test_adaptive_lvl3_0,random_perturbation,structural_only,4,0.2793,0.022,0.1088,0.2793,APPROVED,0,1,0.6126,0.2894,1.905
test_adaptive_lvl3_0,random_perturbation,structural_only,5,0.3153,0.022,0.1214,0.3153,APPROVED,0,1,0.582,0.3539,1.834
test_adaptive_lvl3_1,random_perturbation,structural_only,0,0.0,0.022,0.011,0.0,APPROVED,0,1,1.0,0.0,1.919
test_adaptive_lvl3_1,random_perturbation,structural_only,1,0.0085,0.022,0.014,0.0085,APPROVED,0,1,0.8428,0.0746,2.05
test_adaptive_lvl3_1,random_perturbation,structural_only,2,0.1519,0.022,0.0642,0.1519,APPROVED,0,1,0.7209,0.1442,1.883
test_adaptive_lvl3_1,random_perturbation,structural_only,3,0.2355,0.022,0.0935,0.2355,APPROVED,0,1,0.6498,0.2212,1.928
test_adaptive_lvl3_1,random_perturbation,structural_only,4,0.2791,0.022,0.1087,0.2791,APPROVED,0,1,0.6128,0.2923,1.848
test_adaptive_lvl3_1,random_perturbation,structural_only,5,0.3074,0.022,0.1186,0.3074,APPROVED,0,1,0.5887,0.3582,1.848
test_adaptive_lvl3_2,random_perturbation,structural_only,0,0.0,0.022,0.011,0.0,APPROVED,0,1,1.0,0.0,1.833
test_adaptive_lvl3_2,random_perturbation,structural_only,1,0.0072,0.022,0.0135,0.0072,APPROVED,0,1,0.8439,0.0724,2.198
test_adaptive_lvl3_2,random_perturbation,structural_only,2,0.1541,0.022,0.065,0.1541,APPROVED,0,1,0.719,0.1441,2.07
test_adaptive_lvl3_2,random_perturbation,structural_only,3,0.2361,0.022,0.0937,0.2361,APPROVED,0,1,0.6493,0.2187,1.884
test_adaptive_lvl3_2,random_perturbation,structural_only,4,0.2842,0.022,0.1105,0.2842,APPROVED,0,1,0.6084,0.2894,1.882
test_adaptive_lvl3_2,random_perturbation,structural_only,5,0.3247,0.022,0.1247,0.3247,APPROVED,0,1,0.574,0.3688,1.969
test_adaptive_lvl3_3,random_perturbation,structural_only,0,0.0,0.022,0.011,0.0,APPROVED,0,1,1.0,0.0,1.715
test_adaptive_lvl3_3,random_perturbation,structural_only,1,0.0046,0.022,0.0126,0.0046,APPROVED,0,1,0.8461,0.073,1.885
test_adaptive_lvl3_3,random_perturbation,structural_only,2,0.1638,0.022,0.0683,0.1638,APPROVED,0,1,0.7108,0.147,2.007
